Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12654,9/8/2022,-0.076354706,0.013513626,0.012999953,21,100
Market-Adjusted Model,12655,9/8/2022,-0.046968541,0.044292443,0.042386117,21,100
Market-Adjusted Model,12656,9/8/2022,-0.109593916,-0.022027822,-0.020239258,21,100
Market-Adjusted Model,12657,9/8/2022,-0.097013869,-0.007928152,-0.00765921,21,100
Market-Adjusted Model,12658,9/8/2022,-0.102833981,-0.014424925,-0.013479322,21,100
Market-Adjusted Model,12659,9/8/2022,-0.115074133,-0.028083173,-0.025719474,21,100
Market-Adjusted Model,12662,9/8/2022,-0.050089482,0.041331979,0.039265176,21,100
Market-Adjusted Model,12666,9/8/2022,0.00687554,0.097841386,0.096230198,21,100
Market-Adjusted Model,12672,9/8/2022,0.05376347,0.1437085,0.143118129,21,100
Market-Adjusted Model,12673,9/8/2022,-0.076558874,0.013922883,0.012795784,21,100
Market-Adjusted Model,12675,9/8/2022,-0.043572942,0.046811182,0.045781717,21,100
Market-Adjusted Model,12676,9/8/2022,-0.056849878,0.032689868,0.03250478,21,100
Market-Adjusted Model,12680,9/8/2022,0.158536582,0.255660692,0.247891241,21,100
Market-Adjusted Model,12681,9/8/2022,-0.077387202,0.013338336,0.011967457,21,100
Market-Adjusted Model,12684,9/8/2022,-0.033288947,0.061486164,0.056065711,21,100
Market-Adjusted Model,12690,9/8/2022,-0.293023242,-0.247203819,-0.203668583,21,100
Market-Adjusted Model,12693,9/8/2022,-0.099207696,-0.011016708,-0.009853037,21,100
Market-Adjusted Model,12697,9/8/2022,-0.089041093,0.007799657,0.000313565,21,100
Market-Adjusted Model,12699,9/8/2022,0.256842062,0.357034636,0.346196721,21,100
